,LDA,SVM,logistic,logistic_lasso,logistic_ridge,random_forest
test_f1,0.36423362137647847,0.3173694966716524,0.3275452121748678,0.3395719834188839,0.34588190748469494,0.3100962123980026
test_accuracy,0.37362637362637363,0.24175824175824176,0.2857142857142857,0.2967032967032967,0.3516483516483517,0.45054945054945056
train_f1,0.32907021872136927,0.341140928600651,0.32050311577449603,0.3275569150757751,0.33001996622978014,0.38873222080682485
train_accuracy,0.46153846153846156,0.33791208791208793,0.3708791208791209,0.35714285714285715,0.45604395604395603,0.5521978021978022
test_f1_adrenal,0.2222222222222222,0.14285714285714285,0.1951219512195122,0.15,0.32,0.2608695652173913
test_f1_bone,0.4444444444444444,0.36363636363636365,0.375,0.32653061224489793,0.43902439024390244,0.4
test_f1_cns,0.2702702702702703,0.2702702702702703,0.2777777777777778,0.3404255319148936,0.2,0.25
test_f1_liver,0.18181818181818182,0.13043478260869565,0.15,0.1568627450980392,0.21428571428571427,0.0
test_f1_ln,0.6349206349206349,0.55,0.5352112676056338,0.5396825396825397,0.5555555555555556,0.5
test_f1_lung,0.48484848484848486,0.49411764705882355,0.4819277108433735,0.5230769230769231,0.49230769230769234,0.5098039215686274
test_f1_pleura,0.3111111111111111,0.2702702702702703,0.2777777777777778,0.3404255319148936,0.2,0.25
