,LDA,SVM,logistic,logistic_lasso,logistic_ridge,random_forest
test_f1,0.3474740061176079,0.29929586880482834,0.2739982714732182,0.3055264719898866,0.33905057675244016,0.23743362227834278
test_accuracy,0.3516483516483517,0.25274725274725274,0.27472527472527475,0.18681318681318682,0.27472527472527475,0.46153846153846156
train_f1,0.4266726604386816,0.4805949291003552,0.6531111654101378,0.4148094398278862,0.4851686423460945,0.6180789870712351
train_accuracy,0.49725274725274726,0.4423076923076923,0.5851648351648352,0.37362637362637363,0.47527472527472525,0.6510989010989011
test_f1_adrenal,0.18181818181818182,0.0,0.0,0.125,0.25,0.0
test_f1_bone,0.46511627906976744,0.4186046511627907,0.34782608695652173,0.3181818181818182,0.42857142857142855,0.43478260869565216
test_f1_cns,0.22857142857142856,0.21052631578947367,0.2222222222222222,0.24390243902439024,0.25,0.24
test_f1_liver,0.13793103448275862,0.21428571428571427,0.21052631578947367,0.12121212121212122,0.16,0.0
test_f1_ln,0.6461538461538462,0.6086956521739131,0.4827586206896552,0.6,0.6,0.46153846153846156
test_f1_lung,0.45454545454545453,0.43243243243243246,0.43243243243243246,0.4864864864864865,0.43478260869565216,0.2857142857142857
test_f1_pleura,0.3181818181818182,0.21052631578947367,0.2222222222222222,0.24390243902439024,0.25,0.24
