,LDA,SVM,logistic,logistic_lasso,logistic_ridge,random_forest
test_f1,0.3177017186444595,0.25122834558924784,0.231532989539902,0.2804150342744813,0.36198115609880316,0.2862337662337663
test_accuracy,0.32967032967032966,0.24175824175824176,0.26373626373626374,0.18681318681318682,0.4065934065934066,0.45054945054945056
train_f1,0.4781749098467799,0.598931266178653,0.751769612273814,0.4346197044253822,0.42460970395186987,0.6288639346550842
train_accuracy,0.5164835164835165,0.5274725274725275,0.7005494505494505,0.3901098901098901,0.47527472527472525,0.6428571428571429
test_f1_adrenal,0.17391304347826086,0.0,0.0,0.1875,0.3333333333333333,0.0
test_f1_bone,0.5238095238095238,0.2916666666666667,0.3111111111111111,0.36363636363636365,0.48484848484848486,0.5
test_f1_cns,0.17142857142857143,0.21052631578947367,0.1875,0.14285714285714285,0.26666666666666666,0.32
test_f1_liver,0.06666666666666667,0.125,0.14285714285714285,0.06451612903225806,0.2,0.0
test_f1_ln,0.6470588235294118,0.49230769230769234,0.5,0.6,0.5490196078431373,0.45454545454545453
test_f1_lung,0.4788732394366197,0.42857142857142855,0.2857142857142857,0.46153846153846156,0.43333333333333335,0.4090909090909091
test_f1_pleura,0.16216216216216217,0.21052631578947367,0.1935483870967742,0.14285714285714285,0.26666666666666666,0.32
