,LDA,SVM,logistic,logistic_lasso,logistic_ridge,random_forest
test_f1,0.1135485773256671,0.23969928202821308,0.2481842784748069,0.23494759029528428,0.2397721422248364,0.22130916471914935
test_accuracy,0.42857142857142855,0.16483516483516483,0.2087912087912088,0.2087912087912088,0.18681318681318682,0.10989010989010989
train_f1,0.3148907973888392,0.4938454850018695,0.5124103309153651,0.4973026375210092,0.42952599574031286,0.2685192416798136
train_accuracy,0.6071428571428571,0.42857142857142855,0.4258241758241758,0.42857142857142855,0.3983516483516483,0.19230769230769232
test_f1_adrenal,0.0,0.24,0.23529411764705882,0.17391304347826086,0.14814814814814814,0.0851063829787234
test_f1_bone,0.13333333333333333,0.23728813559322035,0.2857142857142857,0.2857142857142857,0.2641509433962264,0.18181818181818182
test_f1_cns,0.10526315789473684,0.14634146341463414,0.1702127659574468,0.1702127659574468,0.17777777777777778,0.2631578947368421
test_f1_liver,0.16666666666666666,0.10526315789473684,0.11764705882352941,0.10526315789473684,0.13333333333333333,0.18604651162790697
test_f1_ln,0.11764705882352941,0.43902439024390244,0.4,0.410958904109589,0.42105263157894735,0.4418604651162791
test_f1_lung,0.16666666666666666,0.36363636363636365,0.3582089552238806,0.3283582089552239,0.3561643835616438,0.18604651162790697
test_f1_pleura,0.10526315789473684,0.14634146341463414,0.1702127659574468,0.1702127659574468,0.17777777777777778,0.20512820512820512
