,logistic,LDA,random_forest,SVM,logistic_lasso,logistic_ridge
test_f1,0.3275452121748678,0.33013933466000267,0.28389371634654653,0.33759313249109163,0.33167101254884307,0.3480357424497256
test_accuracy,0.2857142857142857,0.38461538461538464,0.45054945054945056,0.34065934065934067,0.34065934065934067,0.38461538461538464
train_f1,0.3199206552226341,0.3245150905059035,0.3907197953523556,0.3388658443346651,0.3285874235725611,0.3274334786531761
train_accuracy,0.3708791208791209,0.4697802197802198,0.5604395604395604,0.40934065934065933,0.3983516483516483,0.4423076923076923
test_f1_adrenal,0.1951219512195122,0.21621621621621623,0.18181818181818182,0.15,0.16326530612244897,0.16666666666666666
test_f1_bone,0.375,0.4090909090909091,0.3333333333333333,0.3673469387755102,0.3333333333333333,0.35555555555555557
test_f1_cns,0.2777777777777778,0.17647058823529413,0.23076923076923078,0.2857142857142857,0.2702702702702703,0.3157894736842105
test_f1_liver,0.15,0.17142857142857143,0.0,0.16326530612244897,0.13636363636363635,0.1111111111111111
test_f1_ln,0.5352112676056338,0.6129032258064516,0.52,0.6111111111111112,0.6027397260273972,0.6229508196721312
test_f1_lung,0.4819277108433735,0.49230769230769234,0.49056603773584906,0.5,0.5454545454545454,0.5483870967741935
test_f1_pleura,0.2777777777777778,0.23255813953488372,0.23076923076923078,0.2857142857142857,0.2702702702702703,0.3157894736842105
